branch,run_at,git_commit,chain_id,criterion,criterion_name,verdict,evidence_name,value,meaning
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,1,Replay prevention,pass,usedNullifier,false (before withdrawal) -> true (after withdrawal),Whether the nullifier has been spent (answered by the contract)
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,1,Replay prevention,pass,withdraw1_txHash,0x7e2e579c64ced847d5f7f0eb520dfd5fd00de6f305a76003b4eaa9a921a3bc07,"Transaction hash of the FIRST withdrawal, verifiable on chain"
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,1,Replay prevention,pass,withdraw1_status,1 - transaction accepted by the EVM,Result of the first withdrawal: 1 = success
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,1,Replay prevention,pass,replay_txHash,0x6ad642a7fb0b3f3411d4a218c45c2643c5c0cfe5914d3851db9bd3d57da886de,"Transaction hash of the SECOND withdrawal, same nullifier"
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,1,Replay prevention,pass,replay_status,0 — Transaction has been reverted by the EVM:,Result of the second withdrawal: 0 = rejected by the contract
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,currentRoot,0x2fe6349b77f8b704a4b6fda6a67fa440bb1a7ac8a5722ef77d23ee9340b379ca,"Current Merkle root in effect, read from the contract"
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,transactionHash,0x7e2e579c64ced847d5f7f0eb520dfd5fd00de6f305a76003b4eaa9a921a3bc07,Transaction hash of the successful withdrawal
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,contractEvents,Deposit | Deposit | RootUpdated | CommitmentsPublished | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw | Withdraw,"Sequence of events emitted by the contract, in order"
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,validRoot,"✓ the contract confirms this root was approved earlier, so anyone can check the withdrawal used a root the university had published",Whether the contract recognises this root as previously approved
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,2a,State is readable (ISO/IEC 15408-2 FAU_SAR.1),pass,usedNullifier,"✓ the contract reports this nullifier as spent, so the spend is visible to any reader",Whether the nullifier has been spent (answered by the contract)
